subset,n,MAE,RMSE,R2
ALL_DATA,27,8.595820634976942,10.740191461238487,0.8359302892943697
BATCH_0,8,7.657453719009348,9.721398137393507,0.82860527530018
BATCH_2,8,11.164822262167997,13.558691904347683,0.7978303949385313
BATCH_3,3,9.870080673185802,11.571483751373451,0.4303604434074807
BATCH_1,8,6.487338409425155,7.794620492708355,0.9210811110284324
