subset,n,MAE,RMSE,R2
ALL_DATA,27,0.0038772828761742925,0.004942270513187613,0.85816206303052
BATCH_0,8,0.00353798999569639,0.004164955184963267,0.9424177623162552
BATCH_2,8,0.004883481047854733,0.006379989277889626,0.5879820822020561
BATCH_3,3,0.004846940112470128,0.005997836662920531,0.7614451444614835
BATCH_1,8,0.002846756121360819,0.0033009841023929586,0.8473050918125121
