time,mixed,reconstructed,ground_truth
0.0010000000474974513,0.0021299999207258224,0.032677121460437775,-0.09301000088453293
0.0020000000949949026,0.0030900000128895044,0.03325618430972099,-0.09442999958992004
0.003000000026077032,0.0041600000113248825,0.03357879817485809,-0.09630999714136124
0.004000000189989805,0.005309999920427799,0.03377646580338478,-0.09860000014305115
0.004999999888241291,0.0065299998968839645,0.03579502925276756,-0.10118000209331512
0.006000000052154064,0.007790000177919865,0.037180814892053604,-0.1039699986577034
0.007000000216066837,0.009039999917149544,0.03922785446047783,-0.10690999776124954
0.00800000037997961,0.010250000283122063,0.041004717350006104,-0.10993000119924545
0.008999999612569809,0.01133000012487173,0.0434398390352726,-0.11292000114917755
0.009999999776482582,0.012230000458657742,0.045466579496860504,-0.11588999629020691
0.010999999940395355,0.012910000048577785,0.04797275736927986,-0.11879000067710876
0.012000000104308128,0.01331000030040741,0.04979190230369568,-0.12159000337123871
0.013000000268220901,0.013389999978244305,0.051761217415332794,-0.12424000352621078
0.014000000432133675,0.01310999970883131,0.05283017456531525,-0.12661999464035034
0.014999999664723873,0.012450000271201134,0.05440102517604828,-0.12873999774456024
0.01600000075995922,0.01143999956548214,0.05469965934753418,-0.1305299997329712
0.017000000923871994,0.010089999996125698,0.055447015911340714,-0.13190999627113342
0.017999999225139618,0.008440000005066395,0.055107079446315765,-0.13278000056743622
0.01899999938905239,0.006539999973028898,0.05589699000120163,-0.13297000527381897
0.019999999552965164,0.004459999967366457,0.055162522941827774,-0.13242000341415405
0.020999999716877937,0.0022799998987466097,0.05409349128603935,-0.13106000423431396
0.02199999988079071,6.469999789260328e-05,0.05266699567437172,-0.12883000075817108
0.023000000044703484,-0.002099999925121665,0.05156360939145088,-0.1256600022315979
0.024000000208616257,-0.004129999782890081,0.05040771886706352,-0.1214900016784668
0.02500000037252903,-0.005960000213235617,0.048948563635349274,-0.11638999730348587
0.026000000536441803,-0.007550000213086605,0.046904485672712326,-0.11044999957084656
0.027000000700354576,-0.008849999867379665,0.045435287058353424,-0.10380999743938446
0.02800000086426735,-0.009820000268518925,0.04395262524485588,-0.09661000221967697
0.028999999165534973,-0.010440000332891941,0.04308317229151726,-0.08902999758720398
0.029999999329447746,-0.010700000450015068,0.042105160653591156,-0.08137000352144241
0.03099999949336052,-0.010619999840855598,0.041710760444402695,-0.07387000322341919
0.03200000151991844,-0.010219999589025974,0.0415131114423275,-0.06678000092506409
0.032999999821186066,-0.009519999846816063,0.04151240736246109,-0.060339998453855515
0.03400000184774399,-0.008569999597966671,0.04234733060002327,-0.05471999943256378
0.03500000014901161,-0.007379999849945307,0.043470002710819244,-0.050200000405311584
0.035999998450279236,-0.006029999814927578,0.04352331906557083,-0.046799998730421066
0.03700000047683716,-0.004579999949783087,0.04455571621656418,-0.04458000138401985
0.03799999877810478,-0.003060000017285347,0.04571251943707466,-0.04351000115275383
0.039000000804662704,-0.001550000044517219,0.04714001715183258,-0.043480001389980316
0.03999999910593033,-6.589999975403771e-05,0.04849003627896309,-0.04442000016570091
0.04100000113248825,0.0013200000394135714,0.05006106570363045,-0.04608000069856644
0.041999999433755875,0.002570000011473894,0.05083904042840004,-0.048179998993873596
0.0430000014603138,0.003659999929368496,0.0518435575067997,-0.05048000067472458
0.04399999976158142,0.004559999797493219,0.05285707861185074,-0.052730001509189606
0.04500000178813934,0.005260000005364418,0.053543299436569214,-0.054760001599788666
0.04600000008940697,0.005750000011175871,0.05380856245756149,-0.05631000176072121
0.04699999839067459,0.006049999967217445,0.05379290506243706,-0.05722999945282936
0.04800000041723251,0.006169999949634075,0.053246159106492996,-0.05741000175476074
0.04899999871850014,0.006120000034570694,0.05273812636733055,-0.05683000013232231
0.05000000074505806,0.005929999984800816,0.05127759277820587,-0.05559999868273735
0.050999999046325684,0.005630000028759241,0.05011492967605591,-0.053780000656843185
0.052000001072883606,0.005249999929219484,0.04921860247850418,-0.051500000059604645
0.05299999937415123,0.00482999999076128,0.047685038298368454,-0.04893999919295311
0.05400000140070915,0.004370000213384628,0.04591717571020126,-0.04628000035881996
0.054999999701976776,0.0038999998942017555,0.044049784541130066,-0.04377000033855438
0.0560000017285347,0.00343000004068017,0.04254044219851494,-0.041600000113248825
0.05700000002980232,0.0029700000304728746,0.04115855693817139,-0.039889998733997345
0.057999998331069946,0.0025500000920146704,0.039669159799814224,-0.038750000298023224
0.05900000035762787,0.00215000007301569,0.03838605061173439,-0.03819999843835831
0.05999999865889549,0.0017800000496208668,0.0372169204056263,-0.038270000368356705
0.061000000685453415,0.0014400000218302011,0.03643086552619934,-0.03889000043272972
0.06199999898672104,0.0011500000255182385,0.035826969891786575,-0.03994999825954437
0.06300000101327896,0.0008980000275187194,0.03524366766214371,-0.041280001401901245
0.06400000303983688,0.0007099999929778278,0.03464468941092491,-0.042649999260902405
0.06499999761581421,0.000590000010561198,0.034345705062150955,-0.04391000047326088
0.06599999964237213,0.0005520000122487545,0.03414009138941765,-0.04481999948620796
0.06700000166893005,0.0006060000159777701,0.03406354784965515,-0.04521999880671501
0.06800000369548798,0.00076299998909235,0.03399389982223511,-0.04493999853730202
0.0689999982714653,0.0010300000431016088,0.03391006961464882,-0.043880000710487366
0.07000000029802322,0.00139999995008111,0.0339445136487484,-0.04197999835014343
0.07100000232458115,0.0018599999602884054,0.03421620652079582,-0.039250001311302185
0.07199999690055847,0.002409999957308173,0.034197937697172165,-0.035739999264478683
0.0729999989271164,0.003000000026077032,0.03442545235157013,-0.03156000003218651
0.07400000095367432,0.0036200000904500484,0.03432604297995567,-0.026890000328421593
0.07500000298023224,0.004230000078678131,0.034252624958753586,-0.021970000118017197
0.07599999755620956,0.0047900001518428326,0.0339808389544487,-0.016990000382065773
0.07699999958276749,0.005260000005364418,0.033718060702085495,-0.012199999764561653
0.07800000160932541,0.005609999876469374,0.033412616699934006,-0.007819999940693378
0.07900000363588333,0.005810000002384186,0.03290469944477081,-0.004110000096261501
0.07999999821186066,0.005840000230818987,0.03233741968870163,-0.001290000043809414
0.08100000023841858,0.00570000009611249,0.03196196258068085,0.0004910000134259462
0.0820000022649765,0.0053900000639259815,0.03140445053577423,0.0011500000255182385
0.08299999684095383,0.0049299998208880424,0.030977994203567505,0.0006230000290088356
0.08399999886751175,0.00431999983265996,0.03032153658568859,-0.00107999995816499
0.08500000089406967,0.0036200000904500484,0.029886825010180473,-0.003930000122636557
0.0860000029206276,0.002839999971911311,0.02920682169497013,-0.007790000177919865
0.08699999749660492,0.00203999993391335,0.02850428596138954,-0.012500000186264515
0.08799999952316284,0.0012499999720603228,0.027693813666701317,-0.017839999869465828
0.08900000154972076,0.0005089999758638442,0.026921799406409264,-0.023509999737143517
0.09000000357627869,-0.00015500000154133886,0.026313867419958115,-0.02928999997675419
0.09099999815225601,-0.0007169999880716205,0.0255292858928442,-0.034860000014305115
0.09200000017881393,-0.0011599999852478504,0.024662379175424576,-0.03994999825954437
0.09300000220537186,-0.0014700000174343586,0.02382502146065235,-0.044280000030994415
0.09399999678134918,-0.0016599999507889152,0.023249709978699684,-0.04757000133395195
0.0949999988079071,-0.0017099999822676182,0.022527655586600304,-0.049630001187324524
0.09600000083446503,-0.0016499999910593033,0.021923936903476715,-0.05031000077724457
0.09700000286102295,-0.0014900000533089042,0.02146439626812935,-0.0494999997317791
0.09799999743700027,-0.0012499999720603228,0.020975040271878242,-0.04718000069260597
0.0989999994635582,-0.0009330000029876828,0.020564373582601547,-0.04340000078082085
0.10000000149011612,-0.0005709999823011458,0.02020908333361149,-0.03826000168919563
0.10100000351667404,-0.00018600000475998968,0.019977392628788948,-0.031980000436306
0.10199999809265137,0.00020500000391621143,0.019724041223526,-0.024809999391436577
0.10300000011920929,0.0005849999724887311,0.01975160278379917,-0.0170499999076128
0.10400000214576721,0.0009449999779462814,0.01984981819987297,-0.009100000374019146
0.10499999672174454,0.0012700000079348683,0.020193813368678093,-0.0013099999632686377
0.10599999874830246,0.001550000044517219,0.02038266323506832,0.005900000222027302
0.10700000077486038,0.001769999973475933,0.02092931605875492,0.012160000391304493
0.1080000028014183,0.001930000027641654,0.021466093137860298,0.017149999737739563
0.10899999737739563,0.00203999993391335,0.022203870117664337,0.02054000087082386
0.10999999940395355,0.002099999925121665,0.02292228490114212,0.022140000015497208
0.11100000143051147,0.0021299999207258224,0.02372957207262516,0.02184000052511692
0.1120000034570694,0.002139999996870756,0.02449825406074524,0.01962999999523163
0.11299999803304672,0.00215000007301569,0.02531585469841957,0.01558000035583973
