subset,n,MAE,RMSE,R2
ALL_DATA,27,19.210336821046443,23.90781867954361,0.8676240791646781
BATCH_0,8,18.85365680241764,22.183591443822543,0.908890599078102
BATCH_2,8,23.67199758146917,29.8376794357093,0.7711694181987004
BATCH_3,3,22.008666776263244,27.232961189762097,0.7834144872235846
BATCH_1,8,14.055982346046221,16.388521765439485,0.9138545667976852
