0,-0.09215,0.00127,-0.4976,-0.02523
0.001,-0.09301,0.00213,,
0.002,-0.09443,0.00309,,
0.003,-0.09631,0.00416,,
0.004,-0.0986,0.00531,,
0.005,-0.10118,0.00653,,
0.006,-0.10397,0.00779,,
0.007,-0.10691,0.00904,,
0.008,-0.10993,0.01025,,
0.009,-0.11292,0.01133,,
0.01,-0.11589,0.01223,,
0.011,-0.11879,0.01291,,
0.012,-0.12159,0.01331,,
0.013,-0.12424,0.01339,,
0.014,-0.12662,0.01311,,
0.015,-0.12874,0.01245,,
0.016,-0.13053,0.01144,,
0.017,-0.13191,0.01009,,
0.018,-0.13278,0.00844,,
0.019,-0.13297,0.00654,,
0.02,-0.13242,0.00446,,
0.021,-0.13106,0.00228,,
0.022,-0.12883,6.47E-05,,
0.023,-0.12566,-0.0021,,
0.024,-0.12149,-0.00413,,
0.025,-0.11639,-0.00596,,
0.026,-0.11045,-0.00755,,
0.027,-0.10381,-0.00885,,
0.028,-0.09661,-0.00982,,
0.029,-0.08903,-0.01044,,
0.03,-0.08137,-0.0107,,
0.031,-0.07387,-0.01062,,
0.032,-0.06678,-0.01022,,
0.033,-0.06034,-0.00952,,
0.034,-0.05472,-0.00857,,
0.035,-0.0502,-0.00738,,
0.036,-0.0468,-0.00603,,
0.037,-0.04458,-0.00458,,
0.038,-0.04351,-0.00306,,
0.039,-0.04348,-0.00155,,
0.04,-0.04442,-6.59E-05,,
0.041,-0.04608,0.00132,,
0.042,-0.04818,0.00257,,
0.043,-0.05048,0.00366,,
0.044,-0.05273,0.00456,,
0.045,-0.05476,0.00526,,
0.046,-0.05631,0.00575,,
0.047,-0.05723,0.00605,,
0.048,-0.05741,0.00617,,
0.049,-0.05683,0.00612,,
0.05,-0.0556,0.00593,,
0.051,-0.05378,0.00563,,
0.052,-0.0515,0.00525,,
0.053,-0.04894,0.00483,,
0.054,-0.04628,0.00437,,
0.055,-0.04377,0.0039,,
0.056,-0.0416,0.00343,,
0.057,-0.03989,0.00297,,
0.058,-0.03875,0.00255,,
0.059,-0.0382,0.00215,,
0.06,-0.03827,0.00178,,
0.061,-0.03889,0.00144,,
