0,-0.4976,-0.02523
0.001,-0.4976,-0.02523
0.002,-0.4976,-0.02523
0.003,-0.4976,-0.02523
0.004,-0.4976,-0.02523
0.005,-0.4976,-0.02523
0.006,-0.4976,-0.02523
0.007,-0.4976,-0.02523
0.008,-0.4976,-0.02523
0.009,-0.4976,-0.02523
0.01,-0.4976,-0.02523
0.011,-0.4976,-0.02523
0.012,-0.4976,-0.02523
0.013,-0.4976,-0.02523
0.014,-0.4976,-0.02523
0.015,-0.4976,-0.02523
0.016,-0.4976,-0.02523
0.017,-0.4976,-0.02523
0.018,-0.49739,-0.02522
0.019,-0.49739,-0.02522
0.02,-0.49739,-0.02522
0.021,-0.49739,-0.02522
0.022,-0.49739,-0.02522
0.023,-0.49739,-0.02522
0.024,-0.49739,-0.02522
0.025,-0.49739,-0.02522
0.026,-0.49739,-0.02522
0.027,-0.49739,-0.02522
0.028,-0.49739,-0.02522
0.029,-0.49739,-0.02522
0.03,-0.49739,-0.02522
0.031,-0.49739,-0.02522
0.032,-0.49739,-0.02522
0.033,-0.49739,-0.02522
0.034,-0.49739,-0.02522
0.035,-0.49739,-0.02522
0.036,-0.49739,-0.02522
0.037,-0.49739,-0.02522
0.038,-0.49739,-0.02522
0.039,-0.49739,-0.02522
0.04,-0.49739,-0.02522
0.041,-0.49739,-0.02522
0.042,-0.49739,-0.02522
0.043,-0.49739,-0.02522
0.044,-0.49739,-0.02522
0.045,-0.49739,-0.02522
0.046,-0.49739,-0.02522
0.047,-0.49739,-0.02522
0.048,-0.49739,-0.02522
0.049,-0.49739,-0.02522
0.05,-0.49739,-0.02522
0.051,-0.49739,-0.02522
0.052,-0.49739,-0.02522
0.053,-0.49739,-0.02522
0.054,-0.49739,-0.02522
0.055,-0.49739,-0.02522
0.056,-0.49739,-0.02522
0.057,-0.49739,-0.02522
0.058,-0.49739,-0.02522
0.059,-0.49739,-0.02522
0.06,-0.49739,-0.02522
0.061,-0.49739,-0.02522
0.062,-0.49739,-0.02522
0.063,-0.49739,-0.02522
0.064,-0.49739,-0.02522
0.065,-0.49739,-0.02522
0.066,-0.49739,-0.02522
